country_ISO_code,population,ischaemic_heart_disease,stroke,chronic_obstructive_pulmonary_disease,lower_respiratory_infections,neonatal_conditions,trachae_lung_bronchus_cancer,alzheimers_disease_dementia,diahorreal_diseases,diabetes_mellitus,kidney_diseases,,,,,,,,,,,,,
GBR,67530,43.1,21.1,19.8,20.4,3.0,24.7,42.7,0.9,3.6,2.9,,,,,,,,,,,,,
TZA,58005,76.2,91.1,17.1,71.2,22.2,0.6,18.1,46.8,31.5,22.5,,,,,,,,,,,,,
USA,329065,73.5,22.8,28.5,8.9,3.9,25.5,33.3,1.6,10.6,13.1,,,,,,,,,,,,,
URY,3462,59.8,46.2,25.1,17.0,3.6,27.5,19.5,1.9,12.0,14.1,,,,,,,,,,,,,
UZB,32982,354.5,121.5,9.9,16.0,9.8,8.0,8.4,1.6,25.8,12.6,,,,,,,,,,,,,
VUT,300,299.4,206.7,78.0,60.0,11.2,8.8,17.6,46.3,81.7,43.3,,,,,,,,,,,,,
VEN,28516,99.3,51.7,19.3,26.5,16.4,14.1,2.2,5.2,41.4,21.8,,,,,,,,,,,,,
VNM,96462,86.7,220.9,34.2,25.8,9.1,21.5,23.7,4.5,33.8,24.1,,,,,,,,,,,,,
YEM,29162,278.5,127.0,30.3,44.6,30.3,4.9,19.2,13.1,15.4,22.5,,,,,,,,,,,,,
ZMB,17861,85.4,187.3,25.9,87.4,25.6,4.4,18.9,54.7,42.9,29.5,,,,,,,,,,,,,
ZWE,14645,155.9,99.3,22.1,139.1,27.9,4.8,18.4,52.0,57.8,35.9,,,,,,,,,,,,,
